Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-15T08:12:46,NEW,2024CA003852000000,04/15/2026 10:00 AM ET,"119 SUMMERLIN LOOP HAINES CITY, FL- 33844","$372,943.63","$250,584.00","$165,000.00",272726758513000480
2026-04-15T08:12:46,NEW,2025CA000639000000,04/15/2026 10:00 AM ET,"7511 LAKE HATCHINEHA RD HAINES CITY, FL- 33844","$244,293.32","$251,608.00","$199,900.00",282818000000024010
2026-04-15T08:12:46,NEW,2025CA003242A000BA,04/15/2026 10:00 AM ET,"105 HERRING LN POINCIANA, FL- 34759","$55,969.90","$48,000.00","$55,969.90",282802934710107110
2026-04-15T08:12:46,NEW,2023CA006939000000,04/16/2026 10:00 AM ET,"830 N 8TH ST EAGLE LAKE, FL- 33839","$315,401.80","$239,035.00","$315,401.80",262907677000000507
2026-04-15T08:12:46,NEW,2024CA004254000000,04/16/2026 10:00 AM ET,"2912 LAKE ALFRED RD WINTER HAVEN, FL- 33880","$274,344.24","$152,621.00","$274,344.24",262817544500050100
2026-04-15T08:12:46,NEW,2024CC010228000000,04/17/2026 10:00 AM ET,"243 MINNIEHAHA CIR HAINES CITY, FL- 33845","$10,103.10","$375,348.00","$10,103.10",272717741010001630
2026-04-15T08:12:46,NEW,2025CA002306A000BA,04/17/2026 10:00 AM ET,"105 REBECCA DR WINTER HAVEN, FL- 33881","$196,150.29","$56,153.00","$176,769.80",262822588313000280
2026-04-15T08:12:46,NEW,2025CA002977A000BA,04/17/2026 10:00 AM ET,"311 MICHIGAN LN POINCIANA, FL- 34759","$380,314.83","$260,915.00",Hidden,282803934760011280
2026-04-15T08:12:46,NEW,2025CA004293A000BA,04/17/2026 10:00 AM ET,"1609 ITCHEPACKESASSA DR LAKELAND, FL- 33810","$209,818.57","$189,289.00","$209,818.57",232808024510000090
2026-04-15T08:12:46,NEW,2025CC002581A000BA,04/17/2026 10:00 AM ET,"259 KINGS POND AVE WINTER HAVEN, FL- 33880","$6,191.71","$162,706.00","$6,191.71",262831641446000670
2026-04-15T08:12:46,NEW,2025CC009396A000BA,04/17/2026 10:00 AM ET,"7103 TWELVE OAKS DR LAKELAND, FL- 33813","$11,261.29","$741,295.00","$11,586.29",242930290809000060
2026-04-15T08:12:46,NEW,2024CA002119000000,04/21/2026 10:00 AM ET,"140 KRENSON BAY LOOP WINTER HAVEN, FL- 33881","$371,295.81","$228,716.00","$371,295.81",262821585012000100
